"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","migrants_total","main_workers","marginal_workers","marginal_workers_seeking_work","non_workers","non_workers_seeking_work","working_age_migrants_15_64","working_age_main_workers","working_age_marginal_workers","working_age_marginal_workers_seeking_work","working_age_non_workers","working_age_non_workers_seeking_work","census_year","main_worker_share_among_working_age_migrants","marginal_worker_share_among_working_age_migrants","non_worker_share_among_working_age_migrants","seeking_work_share_among_working_age_migrants","seeking_work_share_among_working_age_non_main"
"pc2001__01__01",1,"Kupwara",TRUE,116221,13084,14586,8022,88551,17182,86871,12059,13432,7539,61380,16281,2011,0.138815024576671,0.154620068837702,0.706564906585627,0.274199675380737,0.318398117948992
"pc2001__01__06",2,"Anantnag;Kulgam",TRUE,253522,31776,95627,37711,126119,20941,205662,30211,90918,36168,84533,19773,2011,0.146896363936945,0.44207486069376,0.411028775369295,0.272004551156752,0.318841157930134
"pc2001__01__07",1,"Leh(Ladakh)",TRUE,33924,12599,5584,1756,15741,2681,26614,11876,5025,1680,9713,2480,2011,0.446231306830991,0.188810400541069,0.36495829262794,0.156308709701661,0.282263536436423
"pc2001__01__08",1,"Kargil",TRUE,20802,4054,3866,2155,12882,3178,16694,3869,3534,2047,9291,3016,2011,0.231759913741464,0.211692823769019,0.556547262489517,0.303282616508925,0.394775828460039
"pc2001__01__11",1,"Punch",TRUE,65531,10242,15323,5801,39966,7446,50655,9582,14134,5458,26939,6882,2011,0.18916197808706,0.279024775441714,0.531813246471227,0.243608725693416,0.30044067879142
"pc2001__02__01",1,"Chamba",TRUE,160035,36832,72954,26634,50249,6752,134424,35334,67829,25918,31261,6538,2011,0.262854847348688,0.50458995417485,0.232555198476463,0.241444980063084,0.327540619638712
"pc2001__02__02",1,"Kangra",TRUE,589935,105047,181245,55994,303643,43569,472926,99408,164301,54317,209217,42381,2011,0.21019778992908,0.347413760292308,0.442388449778612,0.204467506544364,0.258884444658624
"pc2001__02__04",1,"Kullu",TRUE,151504,80958,26735,10796,43811,6773,127172,77148,24402,10469,25622,6531,2011,0.606642971723335,0.191881860786966,0.201475167489699,0.133677224546284,0.339836878298417
"pc2001__02__06",1,"Hamirpur",TRUE,195857,61693,66628,17740,67536,7171,156420,56938,58939,17138,40543,6984,2011,0.364007160209692,0.376799641989515,0.259193197800793,0.154213016238333,0.242476025813715
"pc2001__02__09",1,"Solan",TRUE,258650,108215,39555,10587,110880,9702,208836,103896,36365,10300,68575,9232,2011,0.497500430960179,0.174131854661074,0.328367714378747,0.0935279357965102,0.18612540499333
"pc2001__02__10",1,"Sirmaur",TRUE,177191,71363,33846,5968,71982,6220,147348,67601,30596,5792,49151,6036,2011,0.458784645872357,0.207644487879035,0.333570866248609,0.0802725520536417,0.148319059024164
"pc2001__02__12",1,"Kinnaur",TRUE,33858,22266,3612,1538,7980,878,28146,21196,3198,1456,3752,830,2011,0.753073260854118,0.113621829034321,0.133304910111561,0.0812193562140269,0.328920863309352
"pc2001__03__03",1,"Kapurthala",TRUE,411079,109215,19110,7836,282754,19870,313823,100859,16366,7141,196598,18742,2011,0.321388171039089,0.0521504159988274,0.626461412962084,0.0824764277952859,0.121536973385173
"pc2001__03__04",1,"Jalandhar",TRUE,1079124,305326,44662,16512,729136,55733,821048,285960,39024,15119,496064,52647,2011,0.348286580078144,0.0475294988843527,0.604183921037503,0.0825359784080833,0.126644589301199
"pc2001__03__08",1,"Fatehgarh Sahib",TRUE,353009,94341,12780,5558,245888,19073,259517,88583,11418,5156,159516,18043,2011,0.341337947032372,0.0439971177225384,0.61466493524509,0.0893929877426142,0.135719049457685
"pc2001__03__10",1,"Moga",TRUE,557354,139739,31236,13518,386379,40046,399038,128285,27415,12119,243338,37499,2011,0.32148567304367,0.0687027300658083,0.609811596890522,0.124344047434079,0.183259280598922
"pc2001__03__12",1,"Muktsar",TRUE,390879,88194,29552,12466,273133,21977,305327,81823,27561,11820,195943,20782,2011,0.26798481627894,0.0902671561964713,0.641748027524588,0.106777323983794,0.14586763547856
"pc2001__03__13",1,"Faridkot",TRUE,304868,69496,17792,9336,217580,22391,229199,64769,16098,8629,148332,21199,2011,0.282588492968992,0.0702359085336323,0.647175598497376,0.130140183857696,0.18140242048288
"pc2001__03__14",1,"Bathinda",TRUE,746639,195900,64055,23499,486684,43363,562662,186571,59302,22226,316789,40840,2011,0.33158628092887,0.105395423895696,0.563018295175434,0.112085052838116,0.16768813930671
"pc2001__03__15",1,"Mansa",TRUE,401427,94745,60598,20159,246084,24244,287026,88447,55681,18883,142898,21956,2011,0.308149784340095,0.193992878693916,0.497857336965989,0.142283277473121,0.205656187210128
"pc2001__04__01",1,"Chandigarh",TRUE,678188,296779,12993,5453,368416,29604,552913,289844,11981,5136,251088,28248,2011,0.524212669986056,0.0216688701477448,0.4541184598662,0.0603783958778325,0.126902067518408
"pc2001__05__08",1,"Bageshwar",TRUE,93524,41417,22887,8661,29220,2869,77111,38815,21296,8437,17000,2774,2011,0.503365278624321,0.276173308607073,0.220461412768606,0.145387817561697,0.292745978692292
"pc2001__05__09",1,"Almora",TRUE,236692,109111,43901,14455,83680,7914,192040,101911,39170,14111,50959,7689,2011,0.530675900853989,0.203967923349302,0.265356175796709,0.113518017079775,0.241875533956884
"pc2001__05__13",1,"Hardwar",TRUE,673506,159071,33301,12300,481134,20803,549300,150318,29960,11369,369022,19839,2011,0.273653741125068,0.054542144547606,0.671804114327326,0.0568141270708174,0.0782190675268559
"pc2001__06__01",1,"Panchkula",TRUE,345592,114048,15900,5404,215644,17751,260680,109138,14252,5137,137290,17111,2011,0.418666564370109,0.054672395273899,0.526661040355992,0.0853460181064907,0.146810785128875
"pc2001__06__02",1,"Ambala",TRUE,499726,106895,21829,8643,371002,28617,389900,100142,19646,8123,270112,27089,2011,0.256840215439856,0.0503872787894332,0.69277250577071,0.0903103359835855,0.121522097750537
"pc2001__06__03",1,"Yamunanagar",TRUE,498307,113310,19291,7611,365706,24423,405115,107204,17800,7271,280111,23588,2011,0.26462609382521,0.0439381410216852,0.691435765153105,0.0761734322352912,0.103584627623686
"pc2001__06__04",1,"Kurukshetra",TRUE,420787,98283,29113,11520,293391,23893,334687,92225,27488,11088,214974,23145,2011,0.275555967217131,0.0821304681687666,0.642313564614102,0.102283626194026,0.141189134792256
"pc2001__06__05",1,"Kaithal",TRUE,398147,77982,42400,16376,277765,23615,324035,73460,40310,15822,210265,22956,2011,0.226703905442313,0.124400141959973,0.648895952597713,0.119672257626491,0.154756061059563
"pc2001__06__06",1,"Karnal",TRUE,604177,136229,51211,25040,416737,36598,483342,127216,47799,23834,308327,35059,2011,0.263200797778798,0.0988927095100364,0.637906492711165,0.121845401392803,0.165371245008789
"pc2001__06__07",1,"Panipat",TRUE,554577,164483,41711,13795,348383,22691,440382,156717,38559,13123,245106,21429,2011,0.355866043571263,0.0875580745807049,0.556575881848032,0.0784591559146377,0.121805651032027
"pc2001__06__08",1,"Sonipat",TRUE,588030,147774,69845,23571,370411,32710,481722,141349,65884,22744,274489,31648,2011,0.293424423215049,0.136767679283902,0.569807897501048,0.112911596314887,0.159801159316397
"pc2001__06__09",1,"Jind",TRUE,490182,115766,80396,19628,294020,22867,406711,111009,76776,19054,218926,22249,2011,0.27294319553688,0.188772863286216,0.538283941176904,0.10155368308209,0.139677783714686
"pc2001__06__10",1,"Fatehabad",TRUE,377867,104094,51062,17035,222711,17237,304123,98756,48414,16405,156953,16595,2011,0.324723878167715,0.159192168957955,0.51608395287433,0.108508728376348,0.160687939152834
"pc2001__06__11",1,"Sirsa",TRUE,570094,148529,67584,21500,353981,25216,442571,140039,63863,20597,238669,24079,2011,0.316421545921445,0.144300010619765,0.53927844345879,0.100946514796496,0.147673634524612
"pc2001__06__14",1,"Rohtak",TRUE,395123,93785,25961,7377,275377,22036,329815,90162,24963,7175,214690,21427,2011,0.273371435501721,0.0756878856328548,0.650940678865425,0.0867213437836363,0.119347556675694
"pc2001__06__15",1,"Jhajjar",TRUE,366378,78560,37633,10245,250185,19664,304905,75437,35728,9879,193740,19039,2011,0.247411488824388,0.117177481510634,0.635411029664978,0.0948426559092176,0.126021928983562
"pc2001__06__16",1,"Mahendragarh",TRUE,335147,50573,70213,17329,214361,20311,269712,48705,67368,16988,153639,19823,2011,0.180581509165332,0.249777540487631,0.569640950347037,0.136482618496767,0.166560335193003
"pc2001__06__17",1,"Rewari",TRUE,359654,87865,53443,12077,218346,14781,293748,85323,51280,11816,157145,14516,2011,0.290463254217901,0.174571401337201,0.534965344444898,0.0896414613886733,0.126338011275039
"pc2001__08__02",1,"Hanumangarh",TRUE,725683,278483,135716,32010,311484,22783,571614,263081,126029,30403,182504,21365,2011,0.460242401340765,0.22047920449814,0.319278394161095,0.0905646117834763,0.167787562432544
"pc2001__08__05",1,"Jhunjhunun",TRUE,715173,184588,180594,26329,349991,25654,595528,176104,168948,25692,250476,24979,2011,0.295710697062103,0.283694469445601,0.420594833492296,0.0850858397925874,0.120810921644923
"pc2001__08__17",1,"Barmer",TRUE,663717,217511,228530,98585,217676,19993,554997,206517,215085,94938,133395,18697,2011,0.372104714079536,0.387542635365597,0.240352650554868,0.204748854498313,0.326087580348944
"pc2001__08__18",1,"Jalor",TRUE,520975,219831,120070,36100,181074,13189,423878,211147,112042,34901,100689,12386,2011,0.498131537848154,0.264326056082175,0.237542406069671,0.111558042644346,0.222285421494752
"pc2001__08__19",1,"Sirohi",TRUE,321506,89346,56596,26324,175564,12800,260789,86599,54375,25730,119815,12344,2011,0.332065386193436,0.208501892334416,0.459432721472148,0.145995421586033,0.218577415465871
"pc2001__08__20",1,"Pali",TRUE,676970,195215,128849,58524,352906,25672,531615,184985,120457,56180,226173,24225,2011,0.347967984349576,0.226586909699689,0.425445105950735,0.151246672874166,0.231962034445951
"pc2001__08__23",1,"Bundi",TRUE,400307,130797,94252,43598,175258,17080,317141,125582,88284,42342,103275,16060,2011,0.395981598090439,0.278374603094523,0.325643798815038,0.184151528815259,0.304877348493154
"pc2001__08__27",1,"Dungarpur",TRUE,453175,59094,223922,141960,170159,24758,350493,55820,211020,136442,83653,23110,2011,0.159261383251591,0.60206623242119,0.238672384327219,0.455221644940127,0.541454425753293
"pc2001__08__32",1,"Jhalawar",TRUE,485497,161133,125711,42043,198653,13954,393407,153372,117025,40398,123010,13129,2011,0.389855798193728,0.297465474686521,0.312678727119751,0.136060110775863,0.222996646322411
"pc2001__09__01",1,"Saharanpur",TRUE,930988,154790,47485,15309,728713,30417,782294,142827,42673,14187,596794,28888,2011,0.182574581934669,0.054548545687427,0.762876872377904,0.0550624189882576,0.0673607864049278
"pc2001__09__03",1,"Bijnor",TRUE,865866,128144,65265,18254,672457,37367,744052,117763,59689,16959,566600,35617,2011,0.158272540091284,0.080221543655551,0.761505916253165,0.0706617279437459,0.0839484646864307
"pc2001__09__05",1,"Rampur",TRUE,490595,79916,46191,12492,364488,20369,423937,73241,42827,11788,307869,19418,2011,0.172763877651632,0.101022085828791,0.726214036519577,0.0736099939377785,0.0889830508474576
"pc2001__09__08",1,"Baghpat",TRUE,352917,60570,29848,5728,262499,10189,295840,55823,27218,5369,212799,9713,2011,0.188693212547323,0.0920024337479719,0.719304353704705,0.0509802595997837,0.0628372156972214
"pc2001__09__10",1,"Gautam Buddha Nagar",TRUE,848470,270765,60009,17770,517696,29618,639739,256306,52168,15926,331265,27699,2011,0.400641511616456,0.0815457553783652,0.517812733005179,0.0681918719977991,0.113774766386826
"pc2001__09__11",1,"Bulandshahr",TRUE,961176,180320,118696,21363,662160,27201,817294,167670,110283,20239,539341,25962,2011,0.205152613380252,0.134936754705161,0.659910631914586,0.0565292293837958,0.0711196014925557
"pc2001__09__12",1,"Aligarh",TRUE,1119225,222361,125866,30357,770998,39962,909610,205191,114876,28208,589543,37483,2011,0.22558129308165,0.126291487560603,0.648127219357747,0.0722188630292103,0.0932555765815516
"pc2001__09__14",1,"Mathura",TRUE,823035,162320,118901,27697,541814,34773,650568,146918,107568,25547,396082,32709,2011,0.225830351323766,0.165344744899841,0.608824903776392,0.0895463656374122,0.115667626327807
"pc2001__09__15",1,"Agra",TRUE,1324168,274032,133488,38867,916648,60552,1086347,253768,120152,35223,712427,57635,2011,0.233597552163351,0.11060186109963,0.655800586737019,0.0854772922464001,0.111530557460613
"pc2001__09__16",1,"Firozabad",TRUE,746651,146837,65101,18484,534713,33916,617624,134418,58483,16622,424723,31750,2011,0.217637267981814,0.0946902970091836,0.687672435009002,0.0783194953563981,0.10010637285133
"pc2001__09__18",1,"Mainpuri",TRUE,501121,61816,46473,11541,392832,21788,429751,56795,42929,10787,330027,20962,2011,0.132157924007158,0.0998927285800382,0.767949347412804,0.0738776640426666,0.0851280043758513
"pc2001__09__20",1,"Bareilly",TRUE,1154125,208511,98706,36530,846908,58021,944433,189293,87080,32577,668060,54510,2011,0.200430311096711,0.0922034702302863,0.707366218673003,0.0922108820848064,0.115325634981593
"pc2001__09__21",1,"Pilibhit",TRUE,507796,73796,41438,16917,392562,23168,443260,66352,37933,15829,338975,22215,2011,0.149690926318639,0.0855773135405857,0.764731760140775,0.0858277309028561,0.100937098708438
"pc2001__09__22",1,"Shahjahanpur",TRUE,748473,107897,49727,19297,590849,38214,640008,98783,45483,18076,495742,36349,2011,0.154346508168648,0.0710662991712604,0.774587192660092,0.0850379995250059,0.100558917271006
"pc2001__09__24",1,"Sitapur",TRUE,1182024,170221,122501,46105,889302,73942,999319,153356,109528,42217,736435,70054,2011,0.153460506604998,0.10960263939743,0.736936853997572,0.112347508653393,0.132713842094749
"pc2001__09__25",1,"Hardoi",TRUE,925804,117733,98263,30337,709808,51347,794984,106623,89387,28293,598974,48554,2011,0.134119680396083,0.112438740905477,0.753441578698439,0.0966648385376309,0.111637643620135
"pc2001__09__26",1,"Unnao",TRUE,906396,169187,144869,40822,592340,44618,744200,152377,130104,37768,461719,42019,2011,0.204752754635851,0.174823972050524,0.620423273313625,0.107211771029293,0.134815645894127
"pc2001__09__27",1,"Lucknow",TRUE,1851848,495589,165728,74640,1190531,136502,1434080,459731,143360,66974,830989,126975,2011,0.320575560638179,0.0999665290639295,0.579457910297891,0.135242803748745,0.199054958746815
"pc2001__09__28",1,"Rae Bareli",TRUE,946486,159144,193061,79512,594281,67410,793452,145058,176634,74692,471760,64232,2011,0.182818872471177,0.222614600505135,0.594566527023689,0.175088096066303,0.214258614361021
"pc2001__09__29",1,"Farrukhabad",TRUE,489438,71446,39528,10052,378464,19800,420477,66239,36810,9520,317428,19052,2011,0.157532992292087,0.087543432815588,0.754923574892325,0.067951398055066,0.0806576369559449
"pc2001__09__30",1,"Kannauj",TRUE,412480,59990,34502,7879,317988,21465,357000,55865,32444,7522,268691,20687,2011,0.156484593837535,0.0908795518207283,0.752635854341737,0.0790168067226891,0.0936755940026898
"pc2001__09__31",1,"Etawah",TRUE,492784,77583,54080,16770,361121,31215,407871,71947,50108,15811,285816,29894,2011,0.176396458684241,0.122852568581733,0.700750972734026,0.11205748876483,0.136057560638716
"pc2001__09__32",1,"Auraiya",TRUE,405514,62736,43684,13240,299094,22704,344621,58458,41157,12739,245006,21991,2011,0.169629825228294,0.119426848625011,0.710943326146695,0.100777375725797,0.121364397214175
"pc2001__09__33",1,"Kanpur Dehat",TRUE,495926,85425,67992,21227,342509,27533,421167,78396,62853,20113,279918,26275,2011,0.186139939738868,0.149235338951057,0.664624721310074,0.110141582792574,0.135332335582648
"pc2001__09__34",1,"Kanpur Nagar",TRUE,1338424,359281,130329,55148,848814,76801,1092295,333465,117587,51383,641243,72587,2011,0.305288406520217,0.107651321300564,0.587060272179219,0.113494980751537,0.16336992475258
"pc2001__09__35",1,"Jalaun",TRUE,537240,98392,92069,30224,346779,27542,450268,89918,85494,28799,274856,26136,2011,0.199698846020592,0.189873586397434,0.610427567581973,0.12200511695257,0.152449007908977
"pc2001__09__36",1,"Jhansi",TRUE,661711,171219,131789,40497,358703,34834,548095,159593,122298,38414,266204,33126,2011,0.291177624316952,0.223132851056842,0.485689524626205,0.13052481777794,0.184143196174022
"pc2001__09__37",1,"Lalitpur",TRUE,357670,96738,94003,22383,166929,12374,309580,91213,88723,21574,129644,11804,2011,0.294634666322114,0.286591511079527,0.418773822598359,0.107817042444602,0.152852766214675
"pc2001__09__38",1,"Hamirpur",TRUE,315374,73567,74084,22017,167723,14598,265469,68054,68453,20945,128962,13905,2011,0.256353849225333,0.257856849575657,0.48578930119901,0.131277098267594,0.176531671858775
"pc2001__09__39",1,"Mahoba",TRUE,260698,67010,57171,18240,136517,12120,214582,61526,52487,17167,100569,11318,2011,0.286724888387656,0.244601131502176,0.468673980110168,0.132746455900309,0.186108352498432
"pc2001__09__40",1,"Banda",TRUE,477181,119975,106350,32097,250856,20518,407273,111116,98925,30602,197232,19655,2011,0.272829281587535,0.242896042703543,0.484274675708923,0.123398801295446,0.169697153874465
"pc2001__09__41",1,"Chitrakoot",TRUE,251141,79797,58554,13371,112790,8493,218122,74086,54444,12738,89592,8056,2011,0.33965395512603,0.249603432941198,0.410742611932772,0.0953319701818248,0.144366686106251
"pc2001__09__42",1,"Fatehpur",TRUE,687436,165378,169392,50584,352666,31252,585868,152555,156593,47895,276720,29775,2011,0.260391419227539,0.267283756750667,0.472324824021793,0.132572524869083,0.179246872353241
"pc2001__09__43",1,"Pratapgarh",TRUE,859280,134387,193023,70429,531870,58034,725498,121184,175998,66055,428316,55317,2011,0.167035608643993,0.242589228364517,0.59037516299149,0.167294740991705,0.200842608312897
"pc2001__09__48",1,"Ambedkar Nagar",TRUE,614103,96210,129325,46065,388568,45841,517347,86789,118319,43526,312239,43649,2011,0.167757810521758,0.228703365439444,0.603538824038798,0.168503924831883,0.202469818235871
"pc2001__09__50",1,"Bahraich",TRUE,841353,119836,135685,46463,585832,41132,724661,108453,124714,43450,491494,39150,2011,0.149660323930776,0.172099781829021,0.678239894240203,0.113984331984197,0.134045646924415
"pc2001__09__52",1,"Balrampur",TRUE,505036,88959,112719,39073,303358,23552,440843,81444,104279,36786,255120,22323,2011,0.184746043375986,0.236544529458333,0.57870942716568,0.134081747923864,0.164466233907162
"pc2001__09__53",1,"Gonda",TRUE,914351,151638,157232,53808,605481,54927,777326,137812,143054,49671,496460,52279,2011,0.177289837211157,0.184033468583323,0.63867669420552,0.131154753604022,0.159417932992866
"pc2001__09__55",1,"Basti",TRUE,640186,92210,124942,42433,423034,42061,551491,84558,115774,40406,351159,40318,2011,0.15332616488755,0.209929083158202,0.636744751954248,0.146374102206564,0.172881334152866
"pc2001__09__60",1,"Deoria",TRUE,862517,96381,139295,42872,626841,57657,728597,87330,127239,40526,514028,55273,2011,0.119860499013858,0.174635635337505,0.705503865648637,0.131484208691499,0.149390191605057
"pc2001__09__61",1,"Azamgarh",TRUE,1219687,179430,223995,70630,816262,79813,1032521,162558,205576,67042,664387,76731,2011,0.157437960099601,0.199101035233182,0.643461004667217,0.13924462553304,0.165263350280414
"pc2001__09__62",1,"Mau",TRUE,545733,86555,107893,35167,351285,37491,458850,78745,98946,33293,281159,36099,2011,0.171613817151575,0.215639097744361,0.612747085104065,0.151230249536886,0.182560082082582
"pc2001__09__63",1,"Ballia",TRUE,927433,137842,157688,56692,631903,61981,760611,122008,139779,51506,498824,58386,2011,0.160407882610165,0.183771993831275,0.65582012355856,0.144478583664975,0.172081872462234
"pc2001__09__64",1,"Jaunpur",TRUE,1258743,237607,232809,63289,788327,64892,1042419,211019,211104,58850,620296,61584,2011,0.20243203548669,0.20251357659444,0.59505438791887,0.115533197303579,0.144856867933606
"pc2001__09__65",1,"Ghazipur",TRUE,968892,193633,179449,49980,595810,60880,806699,173632,162816,46539,470251,57426,2011,0.215237653697352,0.2018299266517,0.582932419650948,0.128877065671335,0.164224323807749
"pc2001__09__66",1,"Chandauli",TRUE,561809,88652,117377,45098,355780,37266,475859,81218,108267,42491,286374,35558,2011,0.17067660798682,0.227519076028824,0.601804315984357,0.164017072284017,0.197772152411939
"pc2001__09__67",1,"Varanasi",TRUE,1200983,278547,130045,41390,792391,74265,967252,254579,116653,38603,596020,70346,2011,0.263198215149723,0.120602490354117,0.61619929449616,0.112637658025003,0.152873758371652
"pc2001__09__69",1,"Mirzapur",TRUE,676304,133897,143023,55901,399384,37258,574476,122289,131977,52978,320210,35553,2011,0.212870511561841,0.229734575508812,0.557394912929348,0.154107395261073,0.195784045096387
"pc2001__09__70",1,"Sonbhadra",TRUE,592083,163722,151232,59020,277129,27508,501465,153327,140493,56010,207645,26102,2011,0.305758128682959,0.280165116209506,0.414076755107535,0.163744229407835,0.235860492103706
"pc2001__10__01",1,"Pashchim Champaran",TRUE,992018,192984,279742,112096,519292,49879,866900,179273,262967,106969,424660,47603,2011,0.206797785211674,0.303341792594302,0.489860422194025,0.178304302687738,0.224790475068605
"pc2001__10__02",1,"Purba Champaran",TRUE,1249887,217919,241773,82539,790195,70752,1110703,203903,227199,78543,679601,68126,2011,0.183580128981375,0.204554232769696,0.611865638248929,0.132050602186183,0.161743493603882
"pc2001__10__03",1,"Sheohar",TRUE,84994,11828,12951,4642,60215,6709,73956,10612,11700,4296,51644,6425,2011,0.143490724214398,0.15820217426578,0.698307101519823,0.144964573530207,0.169250442030816
"pc2001__10__04",1,"Sitamarhi",TRUE,852953,120645,127375,47875,604933,53766,745194,110136,116099,44266,518959,51524,2011,0.147795070813775,0.155797013931943,0.696407915254283,0.128543708081386,0.150836616498021
"pc2001__10__05",1,"Madhubani",TRUE,1143850,254503,242547,90242,646800,69319,997241,237587,227629,86484,532025,66466,2011,0.238244316068032,0.228258765935215,0.533496917996753,0.153373156538891,0.201341663441514
"pc2001__10__06",1,"Supaul",TRUE,575469,127030,189072,70684,259367,27588,505667,119311,179093,67948,207263,26477,2011,0.235947767997516,0.354171816630312,0.409880415372172,0.18673356181044,0.244398948120386
"pc2001__10__08",1,"Kishanganj",TRUE,352376,60553,42753,15469,249070,16919,308812,55861,39875,14539,213076,16185,2011,0.180889991321581,0.129123868243462,0.689986140434957,0.0994909524241286,0.121462259488992
"pc2001__10__09",1,"Purnia",TRUE,763104,192544,141325,67145,429235,45049,658429,177828,131392,63318,349209,42915,2011,0.270079234055608,0.199553786361172,0.53036697958322,0.161343136465739,0.221041987012095
"pc2001__10__11",1,"Madhepura",TRUE,490529,108410,154165,60977,227954,22077,443534,102666,146722,58852,194146,21360,2011,0.231472671768117,0.330802148200589,0.437725180031294,0.180847466034171,0.235316896863302
"pc2001__10__12",1,"Saharsa",TRUE,488683,81072,117700,54323,289911,30054,430912,76715,111696,52133,242501,28923,2011,0.17802938883113,0.25920837665231,0.56276223451656,0.188103371454032,0.228844400150199
"pc2001__10__14",1,"Muzaffarpur",TRUE,1326190,200249,195833,96047,930108,120886,1133669,184131,178693,89910,770845,116001,2011,0.162420424303743,0.157623609713241,0.679955965983016,0.18163238123297,0.216853880518736
"pc2001__10__15",1,"Gopalganj",TRUE,693775,73456,115926,37305,504393,41281,598194,67767,107534,35501,422893,39866,2011,0.113285990832406,0.179764424250327,0.706949584917268,0.12599089927348,0.142087412594004
"pc2001__10__16",1,"Siwan",TRUE,853521,67010,121219,38144,665292,61023,742980,61441,111750,36475,569789,59285,2011,0.0826953619209131,0.150407817168699,0.766896820910388,0.128886376483889,0.140505532331972
"pc2001__10__17",1,"Saran",TRUE,1038596,84273,107968,41643,846355,63842,889412,77060,98829,39153,713523,61372,2011,0.0866415114704996,0.111117232508669,0.802241256020832,0.113024110311082,0.123745617663279
"pc2001__10__19",1,"Samastipur",TRUE,1102714,153458,158639,69814,790617,99083,965379,143103,148611,66889,673665,96370,2011,0.148235045510623,0.153940576706143,0.697824377783233,0.169113892056902,0.198545257310198
"pc2001__10__20",1,"Begusarai",TRUE,834026,135805,127609,62994,570612,76974,711240,126635,118159,59787,466446,74297,2011,0.178048197514201,0.16613098250942,0.655820819976379,0.188521455486193,0.229358284653741
"pc2001__10__21",1,"Khagaria",TRUE,426316,64072,105355,49314,256889,34705,374108,60074,99350,47207,214684,33506,2011,0.16057929795674,0.265565024003764,0.573855678039497,0.215747858907054,0.257019940515995
"pc2001__10__23",1,"Banka",TRUE,542079,86820,163372,65058,291887,29212,472800,80948,153477,61946,238375,28104,2011,0.171209813874789,0.324612944162437,0.504177241962775,0.190461082910321,0.229806151302022
"pc2001__10__24",1,"Munger",TRUE,370054,50453,66787,31143,252814,27983,318231,47204,62536,29754,208491,27027,2011,0.148332500604906,0.196511339247276,0.655156160147817,0.178426991713567,0.20950311223605
"pc2001__10__25",1,"Lakhisarai",TRUE,264355,46626,45145,21524,172584,19854,230079,43692,42570,20703,143817,19266,2011,0.1898999908727,0.185023405004368,0.625076604122932,0.173718592309598,0.21444092130889
"pc2001__10__26",1,"Sheikhpura",TRUE,172236,41014,31722,11849,99500,10758,144173,38292,29111,11237,76770,10303,2011,0.265597580684317,0.201917141212294,0.53248527810339,0.149403841218536,0.203435932792475
"pc2001__10__27",1,"Nalanda",TRUE,811986,221328,137184,55341,453474,46772,681654,204838,126314,52144,350502,44412,2011,0.300501427410387,0.185305154814613,0.514193417775,0.14164957588454,0.202501593906245
"pc2001__10__28",1,"Patna",TRUE,1936192,456860,211452,98293,1267880,138861,1556756,423565,190606,91170,942585,132050,2011,0.272081816289772,0.122437941462888,0.60548024224734,0.143387916924682,0.196983562347389
"pc2001__10__30",1,"Buxar",TRUE,465802,61638,79783,27813,324381,27525,399030,57444,74832,26689,266754,26553,2011,0.143959100819487,0.187534771821668,0.668506127358845,0.133428564268351,0.1558670437313
"pc2001__10__31",1,"Kaimur (Bhabua)",TRUE,445699,59718,85513,32709,300468,25434,375951,54709,79532,31320,241710,24296,2011,0.145521623828637,0.211548845461244,0.642929530710119,0.14793417227245,0.17312804676848
